member_casual,day_of_week,num_rides,avg_length
casual,Sunday,340614,1916.0236585253635
casual,Monday,225831,1576.5811304293181
casual,Tuesday,234764,1407.0244860369614
casual,Wednesday,266061,1397.3928577242489
casual,Thursday,255570,1446.3691005946605
casual,Friday,300033,1620.823621651742
casual,Saturday,415099,1822.3667624808104
member,Sunday,408552,870.8696676873569
member,Monday,503805,742.6412253530733
member,Tuesday,583071,749.2392702982069
member,Wednesday,615882,759.7167145865068
member,Thursday,576394,747.82216086393
member,Friday,517513,766.3658198518104
member,Saturday,470984,859.695569611621
